timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741116221185,188,Get group,200,OK,Load Test 1-94,text,true,,354,602,100,100,http://localhost:6400/api/group,188,0,0
1741116221254,165,Create group,200,OK,Load Test 1-25,text,true,,290,656,100,100,http://localhost:6400/api/group,165,0,0
1741116221265,157,Create group,200,OK,Load Test 1-22,text,true,,290,656,100,100,http://localhost:6400/api/group,157,0,0
1741116221280,163,Create group,200,OK,Load Test 1-91,text,true,,290,656,100,100,http://localhost:6400/api/group,163,0,0
1741116216244,5203,Signup,200,OK,Load Test 1-32,text,true,,669,250,100,100,http://localhost:6400/api/users,5203,0,0
1741116221065,763,Update group,200,OK,Load Test 1-99,text,true,,290,715,100,100,http://localhost:6400/api/group,763,0,0
1741116221006,827,Update group,200,OK,Load Test 1-17,text,true,,290,715,100,100,http://localhost:6400/api/group,827,0,0
1741116221011,827,Update group,200,OK,Load Test 1-89,text,true,,290,715,100,100,http://localhost:6400/api/group,827,0,0
1741116221422,417,Get group,200,OK,Load Test 1-22,text,true,,354,602,100,100,http://localhost:6400/api/group,417,0,0
1741116221444,399,Get group,200,OK,Load Test 1-91,text,true,,354,602,100,100,http://localhost:6400/api/group,399,0,0
1741116221315,531,Get group,200,OK,Load Test 1-23,text,true,,354,602,100,100,http://localhost:6400/api/group,531,0,0
1741116221419,428,Get group,200,OK,Load Test 1-25,text,true,,354,602,100,100,http://localhost:6400/api/group,428,0,0
1741116216992,4885,Signup,200,OK,Load Test 1-72,text,true,,669,250,100,100,http://localhost:6400/api/users,4885,0,0
1741116216893,4978,Signup,200,OK,Load Test 1-35,text,true,,669,250,100,100,http://localhost:6400/api/users,4978,0,0
1741116216894,4976,Signup,200,OK,Load Test 1-5,text,true,,669,250,100,100,http://localhost:6400/api/users,4976,0,0
1741116216911,4958,Signup,200,OK,Load Test 1-46,text,true,,669,250,100,100,http://localhost:6400/api/users,4958,0,0
1741116216900,4968,Signup,200,OK,Load Test 1-41,text,true,,669,250,100,100,http://localhost:6400/api/users,4968,0,0
1741116216833,5034,Signup,200,OK,Load Test 1-37,text,true,,669,250,100,100,http://localhost:6400/api/users,5034,0,0
1741116221338,527,Create group,200,OK,Load Test 1-96,text,true,,290,656,100,100,http://localhost:6400/api/group,527,0,0
1741116216832,5053,Signup,200,OK,Load Test 1-38,text,true,,669,250,100,100,http://localhost:6400/api/users,5053,0,0
1741116216821,5065,Signup,200,OK,Load Test 1-100,text,true,,669,250,100,100,http://localhost:6400/api/users,5065,0,0
1741116216929,4958,Signup,200,OK,Load Test 1-9,text,true,,669,250,100,100,http://localhost:6400/api/users,4958,0,0
1741116216824,5065,Signup,200,OK,Load Test 1-48,text,true,,669,250,100,100,http://localhost:6400/api/users,5065,0,0
1741116216897,4993,Signup,200,OK,Load Test 1-88,text,true,,669,250,100,100,http://localhost:6400/api/users,4993,0,0
1741116216996,4942,Signup,200,OK,Load Test 1-45,text,true,,669,250,100,100,http://localhost:6400/api/users,4942,0,0
1741116219259,2682,Delete Account,200,OK,Load Test 1-83,text,true,,289,571,100,100,http://localhost:6400/api/users,2682,0,0
1741116219220,2728,Login,200,OK,Load Test 1-3,text,true,,1372,249,100,100,http://localhost:6400/api/auth,2728,0,0
1741116221949,0,Login-0,200,OK,Load Test 1-3,text,true,,681,0,100,100,null,0,0,0
1741116219260,2690,Delete Account,200,OK,Load Test 1-63,text,true,,289,571,100,100,http://localhost:6400/api/users,2690,0,0
1741116221067,898,Update group,200,OK,Load Test 1-97,text,true,,290,715,100,100,http://localhost:6400/api/group,898,0,0
1741116221087,892,Update group,200,OK,Load Test 1-98,text,true,,290,715,100,100,http://localhost:6400/api/group,892,0,0
1741116221080,904,Update group,200,OK,Load Test 1-69,text,true,,290,715,100,100,http://localhost:6400/api/group,904,0,0
1741116219303,2785,Login,200,OK,Load Test 1-84,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2784,0,0
1741116222088,0,Login-0,200,OK,Load Test 1-84,text,true,,683,0,100,100,null,0,0,0
1741116221829,264,Delete group,200,OK,Load Test 1-99,text,true,,290,607,100,100,http://localhost:6400/api/group,264,0,0
1741116221833,267,Delete group,200,OK,Load Test 1-17,text,true,,290,607,100,100,http://localhost:6400/api/group,267,0,0
1741116221838,264,Delete group,200,OK,Load Test 1-89,text,true,,290,607,100,100,http://localhost:6400/api/group,264,0,0
1741116221340,782,Update group,200,OK,Load Test 1-82,text,true,,290,715,100,100,http://localhost:6400/api/group,782,0,0
1741116219297,2832,Delete Account,200,OK,Load Test 1-66,text,true,,289,571,100,100,http://localhost:6400/api/users,2832,0,0
1741116219261,2869,Delete Account,200,OK,Load Test 1-75,text,true,,289,571,100,100,http://localhost:6400/api/users,2869,0,0
1741116221950,197,Create group,200,OK,Load Test 1-3,text,true,,290,656,100,100,http://localhost:6400/api/group,197,0,0
1741116221373,788,Update group,200,OK,Load Test 1-94,text,true,,290,715,100,100,http://localhost:6400/api/group,788,0,0
1741116219262,2907,Delete Account,200,OK,Load Test 1-12,text,true,,289,571,100,100,http://localhost:6400/api/users,2907,0,0
1741116221336,844,Update group,200,OK,Load Test 1-18,text,true,,290,715,100,100,http://localhost:6400/api/group,844,0,0
1741116221882,301,Get group,200,OK,Load Test 1-96,text,true,,354,602,100,100,http://localhost:6400/api/group,301,0,0
1741116221966,287,Delete group,200,OK,Load Test 1-97,text,true,,290,607,100,100,http://localhost:6400/api/group,286,0,0
1741116219251,3012,Login,200,OK,Load Test 1-4,text,true,,1373,249,100,100,http://localhost:6400/api/auth,3012,0,0
1741116222263,0,Login-0,200,OK,Load Test 1-4,text,true,,682,0,100,100,null,0,0,0
1741116221980,287,Delete group,200,OK,Load Test 1-98,text,true,,290,607,100,100,http://localhost:6400/api/group,287,0,0
1741116221985,296,Delete group,200,OK,Load Test 1-69,text,true,,290,607,100,100,http://localhost:6400/api/group,296,0,0
1741116222089,194,Create group,200,OK,Load Test 1-84,text,true,,290,656,100,100,http://localhost:6400/api/group,194,0,0
1741116219251,3038,Login,200,OK,Load Test 1-40,text,true,,1374,249,100,100,http://localhost:6400/api/auth,3037,0,0
1741116222289,0,Login-0,200,OK,Load Test 1-40,text,true,,683,0,100,100,null,0,0,0
1741116221839,466,Update group,200,OK,Load Test 1-22,text,true,,290,715,100,100,http://localhost:6400/api/group,466,0,0
1741116221847,473,Update group,200,OK,Load Test 1-23,text,true,,290,715,100,100,http://localhost:6400/api/group,473,0,0
1741116221843,491,Update group,200,OK,Load Test 1-91,text,true,,290,715,100,100,http://localhost:6400/api/group,491,0,0
1741116219258,3084,Delete Account,200,OK,Load Test 1-54,text,true,,289,571,100,100,http://localhost:6400/api/users,3084,0,0
1741116221848,503,Update group,200,OK,Load Test 1-25,text,true,,290,715,100,100,http://localhost:6400/api/group,503,0,0
1741116219260,3109,Delete Account,200,OK,Load Test 1-76,text,true,,289,571,100,100,http://localhost:6400/api/users,3109,0,0
1741116222148,242,Get group,200,OK,Load Test 1-3,text,true,,354,602,100,100,http://localhost:6400/api/group,242,0,0
1741116222123,278,Delete group,200,OK,Load Test 1-82,text,true,,290,607,100,100,http://localhost:6400/api/group,278,0,0
1741116219268,3149,Delete Account,200,OK,Load Test 1-1,text,true,,289,571,100,100,http://localhost:6400/api/users,3149,0,0
1741116219119,3312,Login,200,OK,Load Test 1-6,text,true,,1373,249,100,100,http://localhost:6400/api/auth,3312,0,0
1741116222432,0,Login-0,200,OK,Load Test 1-6,text,true,,682,0,100,100,null,0,0,0
1741116219853,2581,Login,200,OK,Load Test 1-19,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2581,0,0
1741116222434,0,Login-0,200,OK,Load Test 1-19,text,true,,683,0,100,100,null,0,0,0
1741116219856,2692,Login,200,OK,Load Test 1-27,text,true,,1372,249,100,100,http://localhost:6400/api/auth,2692,0,0
1741116222548,0,Login-0,200,OK,Load Test 1-27,text,true,,681,0,100,100,null,0,0,0
1741116219857,2708,Login,200,OK,Load Test 1-92,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2708,0,0
1741116222565,0,Login-0,200,OK,Load Test 1-92,text,true,,683,0,100,100,null,0,0,0
1741116219872,2709,Login,200,OK,Load Test 1-20,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2709,0,0
1741116222581,0,Login-0,200,OK,Load Test 1-20,text,true,,683,0,100,100,null,0,0,0
1741116222283,548,Get group,200,OK,Load Test 1-84,text,true,,354,602,100,100,http://localhost:6400/api/group,548,0,0
1741116222569,281,Create group,200,OK,Load Test 1-92,text,true,,290,656,100,100,http://localhost:6400/api/group,281,0,0
1741116222433,422,Create group,200,OK,Load Test 1-6,text,true,,290,656,100,100,http://localhost:6400/api/group,422,0,0
1741116222264,594,Create group,200,OK,Load Test 1-4,text,true,,290,656,100,100,http://localhost:6400/api/group,594,0,0
1741116222289,572,Create group,200,OK,Load Test 1-40,text,true,,290,656,100,100,http://localhost:6400/api/group,572,0,0
1741116222582,283,Create group,200,OK,Load Test 1-20,text,true,,290,656,100,100,http://localhost:6400/api/group,283,0,0
1741116222162,705,Delete group,200,OK,Load Test 1-94,text,true,,290,607,100,100,http://localhost:6400/api/group,705,0,0
1741116222434,437,Create group,200,OK,Load Test 1-19,text,true,,290,656,100,100,http://localhost:6400/api/group,437,0,0
1741116222549,328,Create group,200,OK,Load Test 1-27,text,true,,290,656,100,100,http://localhost:6400/api/group,328,0,0
1741116218014,4875,Signup,200,OK,Load Test 1-21,text,true,,669,250,100,100,http://localhost:6400/api/users,4875,0,0
1741116222181,704,Delete group,200,OK,Load Test 1-18,text,true,,290,607,100,100,http://localhost:6400/api/group,704,0,0
1741116217866,5027,Signup,200,OK,Load Test 1-50,text,true,,669,250,100,100,http://localhost:6400/api/users,5027,0,0
1741116217887,5010,Signup,200,OK,Load Test 1-53,text,true,,669,250,100,100,http://localhost:6400/api/users,5010,0,0
1741116217868,5030,Signup,200,OK,Load Test 1-39,text,true,,669,250,100,100,http://localhost:6400/api/users,5030,0,0
1741116217892,5007,Signup,200,OK,Load Test 1-59,text,true,,669,250,100,100,http://localhost:6400/api/users,5007,0,0
1741116217851,5050,Signup,200,OK,Load Test 1-52,text,true,,669,250,100,100,http://localhost:6400/api/users,5049,0,0
1741116222321,587,Delete group,200,OK,Load Test 1-23,text,true,,290,607,100,100,http://localhost:6400/api/group,587,0,0
